id,app,category,helpful_votes
168,Dovetail,research repository,47
169,Dovetail,research repository,22
170,Fieldkit,field research,27
171,Miro,collaborative whiteboard,39
172,Maze,usability testing,33
173,Maze,usability testing,32
174,Lookback,user research,6
175,Dovetail,research repository,4
176,Miro,collaborative whiteboard,41
177,Lookback,user research,40
178,Maze,usability testing,3
179,Maze,usability testing,29
180,Fieldkit,field research,38
181,Dovetail,research repository,45
182,Dovetail,research repository,10
183,Maze,usability testing,40
184,Fieldkit,field research,21
185,Dovetail,research repository,35
186,Maze,usability testing,23
187,Maze,usability testing,31
188,Dovetail,research repository,32
189,Lookback,user research,11
190,Lookback,user research,39
191,Miro,collaborative whiteboard,30
192,Dovetail,research repository,24
193,Miro,collaborative whiteboard,16
194,Miro,collaborative whiteboard,7
195,Dovetail,research repository,14
196,Maze,usability testing,5
197,Fieldkit,field research,2
198,Miro,collaborative whiteboard,5
199,Dovetail,research repository,18
200,Fieldkit,field research,31
201,Fieldkit,field research,27
202,Maze,usability testing,42
203,Lookback,user research,35
204,Miro,collaborative whiteboard,22
205,Fieldkit,field research,41
206,Miro,collaborative whiteboard,45
207,Miro,collaborative whiteboard,20
208,Lookback,user research,41
209,Maze,usability testing,47
210,Miro,collaborative whiteboard,33
211,Fieldkit,field research,34
212,Fieldkit,field research,10
213,Maze,usability testing,17
214,Fieldkit,field research,10
215,Dovetail,research repository,23
216,Lookback,user research,28
217,Lookback,user research,1
218,Miro,collaborative whiteboard,39
219,Miro,collaborative whiteboard,28
220,Miro,collaborative whiteboard,35
221,Maze,usability testing,14
222,Dovetail,research repository,29
223,Lookback,user research,26
224,Fieldkit,field research,33
225,Lookback,user research,7
226,Maze,usability testing,22
227,Lookback,user research,8
228,Lookback,user research,9
229,Lookback,user research,2
230,Fieldkit,field research,26
231,Fieldkit,field research,43
232,Miro,collaborative whiteboard,29
233,Lookback,user research,23
234,Fieldkit,field research,3
235,Miro,collaborative whiteboard,20
236,Maze,usability testing,32
237,Maze,usability testing,13
238,Fieldkit,field research,43
239,Lookback,user research,23
240,Fieldkit,field research,24
241,Lookback,user research,21
242,Maze,usability testing,2
243,Dovetail,research repository,38
244,Dovetail,research repository,21
245,Lookback,user research,43
246,Miro,collaborative whiteboard,41
247,Lookback,user research,33
248,Lookback,user research,2
249,Fieldkit,field research,26
250,Dovetail,research repository,45
251,Dovetail,research repository,11
252,Lookback,user research,15
253,Maze,usability testing,45
254,Miro,collaborative whiteboard,18
255,Lookback,user research,18
256,Fieldkit,field research,12
257,Maze,usability testing,15
258,Lookback,user research,6
259,Miro,collaborative whiteboard,26
260,Miro,collaborative whiteboard,41
261,Lookback,user research,26
262,Dovetail,research repository,47
263,Maze,usability testing,21
264,Lookback,user research,7
265,Miro,collaborative whiteboard,43
266,Dovetail,research repository,20
267,Fieldkit,field research,20
268,Fieldkit,field research,17
269,Maze,usability testing,42
270,Maze,usability testing,45
271,Fieldkit,field research,8
272,Miro,collaborative whiteboard,30
273,Dovetail,research repository,33
274,Maze,usability testing,9
275,Lookback,user research,5
276,Miro,collaborative whiteboard,36
277,Miro,collaborative whiteboard,4
278,Maze,usability testing,30
279,Miro,collaborative whiteboard,46
280,Miro,collaborative whiteboard,24
281,Lookback,user research,46
282,Fieldkit,field research,27
283,Dovetail,research repository,17
284,Fieldkit,field research,15
285,Fieldkit,field research,15
286,Miro,collaborative whiteboard,8
287,Maze,usability testing,20
288,Maze,usability testing,33
289,Maze,usability testing,40
290,Lookback,user research,44
291,Dovetail,research repository,19
292,Dovetail,research repository,35
293,Miro,collaborative whiteboard,41
294,Miro,collaborative whiteboard,3
295,Lookback,user research,30
296,Maze,usability testing,47
297,Miro,collaborative whiteboard,15
298,Maze,usability testing,29
299,Miro,collaborative whiteboard,14
300,Fieldkit,field research,46
301,Dovetail,research repository,36
302,Miro,collaborative whiteboard,10
303,Maze,usability testing,31
304,Lookback,user research,26
305,Dovetail,research repository,39
306,Lookback,user research,0
307,Maze,usability testing,27
308,Dovetail,research repository,16
309,Maze,usability testing,36
310,Dovetail,research repository,2
311,Miro,collaborative whiteboard,5
312,Miro,collaborative whiteboard,33
313,Dovetail,research repository,30
314,Fieldkit,field research,11
315,Maze,usability testing,10
316,Lookback,user research,32
317,Maze,usability testing,38
318,Lookback,user research,14
319,Miro,collaborative whiteboard,39
320,Dovetail,research repository,20
321,Fieldkit,field research,6
322,Dovetail,research repository,1
323,Lookback,user research,18
324,Fieldkit,field research,43
325,Dovetail,research repository,9
326,Miro,collaborative whiteboard,16
327,Miro,collaborative whiteboard,21
328,Miro,collaborative whiteboard,19
329,Dovetail,research repository,47
330,Miro,collaborative whiteboard,7
331,Dovetail,research repository,1
332,Miro,collaborative whiteboard,26
333,Dovetail,research repository,24
334,Lookback,user research,34
335,Maze,usability testing,6
336,Maze,usability testing,36
337,Miro,collaborative whiteboard,32
338,Lookback,user research,29
339,Lookback,user research,6
340,Fieldkit,field research,30
341,Fieldkit,field research,1
342,Fieldkit,field research,10
343,Miro,collaborative whiteboard,40
344,Miro,collaborative whiteboard,24
345,Dovetail,research repository,36
346,Lookback,user research,29
347,Miro,collaborative whiteboard,25
348,Maze,usability testing,37
349,Dovetail,research repository,24
350,Dovetail,research repository,44
351,Dovetail,research repository,3
352,Fieldkit,field research,41
353,Miro,collaborative whiteboard,36
354,Dovetail,research repository,29
355,Miro,collaborative whiteboard,2
356,Miro,collaborative whiteboard,15
357,Fieldkit,field research,15
358,Lookback,user research,39
359,Dovetail,research repository,17
360,Dovetail,research repository,6
361,Miro,collaborative whiteboard,15
362,Maze,usability testing,40
363,Miro,collaborative whiteboard,44
364,Maze,usability testing,46
365,Maze,usability testing,17
366,Maze,usability testing,21
367,Fieldkit,field research,0
368,Miro,collaborative whiteboard,41
369,Maze,usability testing,40
370,Dovetail,research repository,37
371,Miro,collaborative whiteboard,44
372,Fieldkit,field research,6
373,Maze,usability testing,10
374,Dovetail,research repository,13
375,Fieldkit,field research,27
376,Dovetail,research repository,15
377,Lookback,user research,19
378,Lookback,user research,24
379,Miro,collaborative whiteboard,23
380,Dovetail,research repository,43
381,Miro,collaborative whiteboard,13
382,Fieldkit,field research,27
383,Fieldkit,field research,32
384,Dovetail,research repository,43
385,Maze,usability testing,29
386,Fieldkit,field research,10
387,Maze,usability testing,1
388,Miro,collaborative whiteboard,40
389,Miro,collaborative whiteboard,23
390,Fieldkit,field research,0
391,Miro,collaborative whiteboard,35
392,Miro,collaborative whiteboard,46
393,Fieldkit,field research,11
394,Lookback,user research,19
395,Lookback,user research,29
396,Miro,collaborative whiteboard,15
397,Miro,collaborative whiteboard,21
398,Miro,collaborative whiteboard,31
399,Dovetail,research repository,26
400,Maze,usability testing,8
401,Miro,collaborative whiteboard,15
402,Maze,usability testing,12
403,Lookback,user research,26
404,Maze,usability testing,10
405,Maze,usability testing,45
406,Maze,usability testing,28
407,Lookback,user research,8
408,Fieldkit,field research,41
409,Lookback,user research,4
410,Miro,collaborative whiteboard,36
411,Miro,collaborative whiteboard,17
412,Dovetail,research repository,35
413,Fieldkit,field research,34
414,Miro,collaborative whiteboard,22
415,Lookback,user research,17
416,Miro,collaborative whiteboard,6
417,Dovetail,research repository,14
418,Miro,collaborative whiteboard,37
419,Maze,usability testing,31
420,Dovetail,research repository,30
421,Lookback,user research,45
422,Maze,usability testing,7
423,Maze,usability testing,19
424,Dovetail,research repository,45
425,Lookback,user research,19
426,Maze,usability testing,2
427,Maze,usability testing,31
428,Fieldkit,field research,40
429,Fieldkit,field research,13
430,Fieldkit,field research,24
431,Miro,collaborative whiteboard,34
432,Miro,collaborative whiteboard,1
433,Fieldkit,field research,21
434,Lookback,user research,10
435,Miro,collaborative whiteboard,13
436,Miro,collaborative whiteboard,6
437,Lookback,user research,18
438,Lookback,user research,30
439,Maze,usability testing,5
440,Miro,collaborative whiteboard,11
441,Maze,usability testing,3
442,Fieldkit,field research,14
443,Miro,collaborative whiteboard,36
444,Miro,collaborative whiteboard,36
445,Lookback,user research,13
446,Dovetail,research repository,20
447,Fieldkit,field research,33
448,Fieldkit,field research,7
449,Dovetail,research repository,6
450,Lookback,user research,30
451,Maze,usability testing,2
452,Maze,usability testing,1
453,Maze,usability testing,14
454,Miro,collaborative whiteboard,41
455,Miro,collaborative whiteboard,33
456,Fieldkit,field research,33
457,Fieldkit,field research,15
458,Fieldkit,field research,40
459,Fieldkit,field research,28
460,Miro,collaborative whiteboard,1
461,Dovetail,research repository,14
462,Maze,usability testing,0
463,Dovetail,research repository,17
464,Miro,collaborative whiteboard,25
465,Fieldkit,field research,38
466,Fieldkit,field research,16
467,Maze,usability testing,3
468,Lookback,user research,31
469,Maze,usability testing,45
470,Dovetail,research repository,30
471,Maze,usability testing,11
472,Miro,collaborative whiteboard,43
473,Fieldkit,field research,26
474,Maze,usability testing,30
475,Lookback,user research,32
476,Miro,collaborative whiteboard,8
477,Maze,usability testing,31
478,Dovetail,research repository,10
479,Dovetail,research repository,27
480,Miro,collaborative whiteboard,20
481,Lookback,user research,40
482,Dovetail,research repository,19
483,Fieldkit,field research,33
484,Dovetail,research repository,25
485,Dovetail,research repository,32
486,Maze,usability testing,39
487,Fieldkit,field research,24
488,Maze,usability testing,0
489,Fieldkit,field research,26
490,Fieldkit,field research,38
491,Maze,usability testing,10
492,Miro,collaborative whiteboard,5
493,Lookback,user research,46
494,Maze,usability testing,2
495,Maze,usability testing,2
496,Dovetail,research repository,46
497,Maze,usability testing,29
498,Miro,collaborative whiteboard,7
499,Fieldkit,field research,43
500,Lookback,user research,31
